"","ISO3","Country_Name","Year","High_Mult","Low_Mult"
"1","CHN","China",2020,1.03730469160015,0.95495998875586
"2","PRK","North Korea",2020,1.14594651199001,0.865725847259717
"3","KHM","Cambodia",2020,1.03496244735359,0.962822494259761
"4","IDN","Indonesia",2020,1.02035943994907,0.97847864951043
"5","LAO","Laos",2020,1.08172924121554,0.916841884483251
"6","MYS","Malaysia",2020,1.05106177145791,0.95899529707283
"7","MMR","Myanmar",2020,1.08240842250559,0.906440340580272
"8","PHL","Philippines",2020,1.09119940203849,0.902179223330279
"9","LKA","Sri Lanka",2020,1.0453206280966,0.945631587896866
"10","THA","Thailand",2020,1.05802169073755,0.941004487438047
"11","TLS","East Timor",2020,1.08291817498902,0.915698668101826
"12","VNM","Vietnam",2020,1.04823873228367,0.950756678617593
"13","PNG","Papua New Guinea",2020,1.1165992233485,0.884924454404573
"14","SLB","Solomon Islands",2020,1.04547318199626,0.945039997914234
"15","VUT","Vanuatu",2020,1.07013744650144,0.925547255160629
"16","ARM","Armenia",2020,1.20008095962934,0.77852922699486
"17","AZE","Azerbaijan",2020,1.1792107756208,0.793913980807751
"18","GEO","Georgia",2020,1.16684180617417,0.794774242829504
"19","KGZ","Kyrgyzstan",2020,1.32007485276343,0.662779462545755
"20","TJK","Tajikistan",2020,1.257516944237,0.726658573813257
"21","TKM","Turkmenistan",2020,1.14513821152797,0.817625664139969
"22","UZB","Uzbekistan",2020,1.19438902681882,0.751562709479132
"23","KOR","South Korea",2020,1.04631493671904,0.938800367404764
"24","ARG","Argentina",2020,1.07705509659581,0.902886602807563
"25","BLZ","Belize",2020,1.07397414042067,0.927121643639148
"26","DOM","Dominican Republic",2020,1.06605313034054,0.933352712841831
"27","GUY","Guyana",2020,1.08266636967315,0.907665529505478
"28","HTI","Haiti",2020,1.16038935595401,0.816894363563448
"29","SUR","Suriname",2020,1.08698901675891,0.905198538082275
"30","BOL","Bolivia",2020,1.08898173488761,0.899922130441192
"31","ECU","Ecuador",2020,1.07667776485599,0.933112037174836
"32","PER","Peru",2020,1.06284811433247,0.940579003894797
"33","COL","Colombia",2020,1.07442501015591,0.919550908591859
"34","CRI","Costa Rica",2020,1.05019290658249,0.94679050482662
"35","SLV","El Salvador",2020,1.05746050478497,0.939598966202761
"36","GTM","Guatemala",2020,1.05962233017105,0.939309490554563
"37","HND","Honduras",2020,1.08168673778916,0.91631652213679
"38","MEX","Mexico",2020,1.04426409453375,0.955122365981651
"39","NIC","Nicaragua",2020,1.06410307815106,0.933387130295168
"40","PAN","Panama",2020,1.08505927313165,0.921075060747359
"41","VEN","Venezuela",2020,1.06755261071056,0.902857119765561
"42","BRA","Brazil",2020,1.06539186770504,0.927292633410215
"43","PRY","Paraguay",2020,1.05862037605327,0.941395678765
"44","DZA","Algeria",2020,1.12795767776987,0.86732317658875
"45","IRN","Iran",2020,1.14444783705134,0.815611458314242
"46","IRQ","Iraq",2020,1.09993062257787,0.878894968838456
"47","MAR","Morocco",2020,1.10423152672402,0.878622952158243
"48","OMN","Oman",2020,1.11833492332617,0.861946260095444
"49","SAU","Saudi Arabia",2020,1.11186507944957,0.834909374216162
"50","SYR","Syria",2020,1.25224965571576,0.784777076464121
"51","TUR","Turkey",2020,1.12582000900173,0.855568276045403
"52","YEM","Yemen",2020,1.17850874883566,0.811446196034222
"53","AFG","Afghanistan",2020,1.13289864616896,0.831161504601651
"54","BGD","Bangladesh",2020,1.07730658871965,0.91464904426369
"55","BTN","Bhutan",2020,1.04237224910674,0.945636427283266
"56","IND","India",2020,1.04329962477804,0.959812458616726
"57","NPL","Nepal",2020,1.04784555308028,0.940894465435643
"58","PAK","Pakistan",2020,1.04337997890582,0.961307067016731
"59","AGO","Angola",2020,1.09510012223071,0.893350684283433
"60","CAF","Central African Republic",2020,1.23580822462054,0.795170670147413
"61","COG","Republic Of Congo",2020,1.12786175433223,0.884597738833269
"62","COD","Democratic Republic Of The Congo",2020,1.21257862819233,0.784594116552382
"63","GNQ","Equatorial Guinea",2020,1.07493698093457,0.918064726416424
"64","GAB","Gabon",2020,1.06576164260764,0.938837788049369
"65","BDI","Burundi",2020,1.08368900508007,0.911417730624066
"66","COM","Comoros",2020,1.11516204855102,0.911326595565366
"67","DJI","Djibouti",2020,1.06635132833321,0.924375577046244
"68","ERI","Eritrea",2020,1.04296554548167,0.959668897326198
"69","ETH","Ethiopia",2020,1.11414774005385,0.881528919752541
"70","KEN","Kenya",2020,1.0719939578949,0.933228156355604
"71","MDG","Madagascar",2020,1.10402276500002,0.904141881987788
"72","MWI","Malawi",2020,1.07978063634392,0.920408565866698
"73","MOZ","Mozambique",2020,1.07630221459394,0.926020014524222
"74","RWA","Rwanda",2020,1.08675278948242,0.913080604901451
"75","SOM","Somalia",2020,1.32727584308373,0.676966834079843
"76","TZA","Tanzania",2020,1.0450631565253,0.954072491345053
"77","UGA","Uganda",2020,1.02880932173737,0.971350173917541
"78","ZMB","Zambia",2020,1.05866388553333,0.931243023817601
"79","BWA","Botswana",2020,1.07696916410409,0.929441929185663
"80","NAM","Namibia",2020,1.08885885162724,0.913987721683736
"81","ZAF","South Africa",2020,1.07623981253698,0.918831992557388
"82","SWZ","Swaziland",2020,1.0798604983207,0.916348918483215
"83","ZWE","Zimbabwe",2020,1.2053263207563,0.843195283672487
"84","BEN","Benin",2020,1.10407259643791,0.885945909178355
"85","BFA","Burkina Faso",2020,1.10554949704533,0.878658807260743
"86","CMR","Cameroon",2020,1.0938034951168,0.869636803889912
